time,X_value,Y_value,Z_value
28.582,-5.67636,1.31476,-2.35728
28.701,-5.71720,1.25447,-2.37370
28.776,-5.84932,1.14041,-2.40707
28.906,-6.01255,0.85487,-2.44583
29.043,-6.14075,0.73943,-2.48882
29.088,-6.30031,0.76665,-2.32354
29.182,-6.44922,0.87146,-2.26865
29.307,-6.56644,0.74845,-2.04306
29.362,-6.53780,0.69212,-1.98388
29.482,-6.64141,0.59792,-1.98712
29.603,-6.74024,0.45725,-2.04292
29.689,-6.75509,0.37592,-2.06209
29.825,-6.70507,0.28366,-2.09341
29.958,-6.73037,0.11169,-2.13755
29.962,-6.69554,0.05552,-2.02039
30.082,-6.83253,0.04066,-1.62013
30.205,-7.01707,0.04078,-1.45687
30.263,-7.20913,0.05770,-1.46099
30.383,-7.46328,0.04321,-1.49498
30.504,-7.58862,0.17402,-1.52542
30.605,-7.62778,0.33748,-1.53673
30.719,-7.65292,0.28708,-1.54288
30.811,-7.70911,-0.07863,-1.59363
30.864,-7.47301,-0.29542,-1.53283
30.992,-7.47708,0.27039,-1.56326
31.125,-7.57461,0.95724,-1.61562
31.163,-7.54895,1.10066,-1.61134
31.284,-7.50408,1.01433,-1.56960
31.404,-7.58842,0.69976,-1.57703
31.496,-7.59325,0.63262,-1.58267
31.587,-7.45200,0.57417,-1.27929
31.705,-7.38314,0.77430,-1.18751
31.767,-7.31318,0.87633,-1.18689
31.900,-7.06659,0.90905,-1.13527
32.036,-6.80010,0.97183,-1.41478
32.064,-6.60645,1.00316,-1.39006
32.185,-6.34890,1.10042,-1.33055
32.307,-6.16911,1.13225,-1.24623
32.374,-6.12301,1.11527,-1.20560
32.485,-6.23955,1.00153,-1.21676
32.605,-6.63936,0.88138,-1.32346
32.684,-6.98153,0.92526,-1.23233
32.809,-7.72670,0.99776,-1.28075
32.931,-8.13976,1.00863,-1.15173
32.965,-8.21946,0.68247,-1.09362
33.097,-8.28052,0.07752,-1.07085
33.205,-8.07133,0.29249,-0.70870
33.266,-7.99113,0.44169,-0.64529
33.385,-8.05542,0.59244,-0.87988
33.505,-7.73889,0.39569,-1.00190
33.566,-7.67113,0.24318,-1.15282
33.731,-7.42835,0.26051,-1.16443
33.843,-7.37314,0.46015,-1.27542
33.866,-7.27171,0.59943,-1.45504
33.986,-7.33367,0.76123,-1.56020
34.114,-7.32290,0.86266,-1.56843
34.166,-7.33285,0.86276,-1.56581
34.286,-7.37661,0.63782,-1.57351
34.406,-7.25735,0.31195,-1.53772
34.498,-7.12541,0.28512,-1.50087
34.635,-6.87072,0.42168,-1.43112
34.709,-6.59612,0.57111,-1.39645
34.767,-6.51255,0.71725,-1.37726
34.891,-6.56762,1.04264,-1.39697
35.049,-6.64921,1.35284,-1.42285
35.067,-6.60974,1.39569,-1.41196
35.188,-6.48268,1.48413,-1.60250
35.308,-6.39511,1.76526,-1.64701
35.401,-6.44942,1.98906,-1.67012
35.494,-6.60974,2.46645,-1.47957
35.608,-6.66584,2.88824,-1.36383
35.671,-6.76483,2.96593,-1.36738
35.807,-6.83783,3.10067,-1.34494
35.914,-6.91279,3.10431,-1.34704
35.968,-7.00383,3.19346,-1.34942
36.088,-7.14356,3.32420,-1.36838
36.208,-7.17505,3.24038,-1.43601
36.281,-7.12329,3.18164,-1.47061
36.388,-6.95087,3.34800,-1.50262
36.508,-6.75356,3.52625,-1.52068
36.599,-6.71709,3.63293,-1.52208
36.717,-6.78618,3.91026,-1.55134
36.809,-6.83737,4.25161,-1.57126
36.869,-6.87973,4.42837,-1.58625
36.991,-7.14467,4.83930,-1.67205
37.128,-7.30460,4.94023,-1.72211
37.169,-7.35544,4.99715,-1.73864
