time,X_value,Y_value,Z_value
2.824,-1.61708,-0.40195,-0.12632
2.865,-0.79843,-1.11234,-1.36202
2.865,0.55079,0.22056,1.24311
2.865,1.04545,-0.48766,-1.97929
2.865,1.04545,-0.48766,-1.97929
2.872,1.23200,0.35880,1.38097
2.885,0.95468,-1.36654,-1.02953
2.891,0.60250,-0.67267,0.56186
2.905,-0.14158,0.05494,1.76783
2.911,-0.27890,-1.69733,-3.66632
2.929,-0.30030,0.30657,2.22312
2.937,0.15270,0.08033,-1.18133
2.954,-0.04563,1.86298,2.36534
2.955,0.06252,0.24156,-1.38931
3.007,0.04424,1.57544,-0.20633
3.007,0.42988,0.93217,-0.82804
3.007,0.26624,0.56779,-0.51354
3.008,1.01506,-0.78385,-1.89154
3.020,0.27349,0.78924,1.43026
3.020,0.27349,0.78924,1.43026
3.033,-0.19777,0.41607,-0.05459
3.053,-0.88878,-0.36033,-0.54451
3.053,-0.43007,-0.90863,-1.30267
3.066,0.56082,0.40594,2.46166
3.072,0.40549,-0.44767,-1.99067
3.100,0.36597,-0.46032,-1.98746
3.101,1.36403,-0.46418,-0.61161
3.131,1.21663,0.04094,0.06670
3.131,1.21663,0.04094,0.06670
3.131,0.74376,0.76893,0.49837
3.139,-0.12844,1.34594,3.24216
3.139,-0.12844,1.34594,3.24216
3.144,-0.74179,-0.48692,0.20549
3.161,-0.30701,-0.14934,-0.62278
3.170,-0.29507,1.30304,1.89637
3.186,-0.32333,-0.37588,-1.57539
3.195,-0.61050,0.68784,1.45888
3.211,-0.50191,-0.22382,0.01207
3.222,0.79692,1.97280,2.41226
3.241,-0.81528,0.21661,-0.23742
3.242,-0.91016,-0.16918,-0.40121
3.261,-0.31838,0.81696,1.92908
3.261,-0.31838,0.81696,1.92908
3.272,0.65534,0.04990,1.24167
3.284,0.24089,-1.00198,-0.99324
3.291,-0.11588,0.67270,-0.32273
3.304,-0.19869,1.76593,2.87030
3.312,0.24361,-1.65009,-3.11400
3.328,0.73278,-0.49657,-0.88414
3.334,-1.37607,-0.69839,-3.75267
3.366,-1.14926,0.71016,-0.24284
3.367,-1.14926,0.71016,-0.24284
3.367,-0.47142,0.98552,1.57607
3.414,0.00119,0.00584,-0.40368
3.415,0.00119,0.00584,-0.40368
3.415,0.13476,1.11290,0.95638
3.415,-0.01347,0.44876,-1.34973
3.415,-0.48078,-0.29212,-1.67076
3.426,-0.00437,0.84500,1.45183
3.433,-0.47108,0.09545,0.07201
3.451,-0.07202,1.36811,0.36472
3.461,-0.77212,-0.57815,-1.01542
3.478,-0.45198,0.19927,-1.12966
3.489,-0.76405,0.39071,-0.37860
3.539,-0.68659,0.47102,-1.84945
3.539,-0.37757,0.58523,-0.18204
3.540,-0.55430,-0.62164,-1.01526
3.540,0.16160,0.66313,1.85332
3.546,0.12669,-0.60037,-1.65048
3.551,0.19670,-0.56644,-0.34230
3.568,-0.36358,0.78161,2.60387
3.572,-1.23902,-0.29217,0.27511
3.593,-1.27775,-0.96075,0.82898
3.593,-1.27775,-0.96075,0.82898
3.599,-0.90101,-1.20517,-1.08316
3.635,0.90259,0.29279,2.15481
3.636,0.90259,0.29279,2.15481
3.637,-0.22654,-0.78039,-1.60439
3.656,-3.37458,-0.82008,-1.14465
3.656,0.15834,1.80895,1.75893
3.658,0.86022,-1.37156,-1.61263
3.664,2.15281,0.14484,3.68628
3.679,1.89903,-1.24768,-0.97713
3.684,-0.02074,0.17929,-0.47777
3.701,-0.50002,0.67185,1.79490
3.710,-0.87401,-0.98938,-0.91798
3.727,-0.29389,0.16511,1.04602
3.732,0.19698,0.52742,0.04078
3.763,-0.37787,-0.55914,-3.53265
3.764,-0.37787,-0.55914,-3.53265
3.764,-0.50981,-1.66963,-3.31769
3.796,0.77970,1.46532,0.43410
3.796,0.77970,1.46532,0.43410
3.796,-0.51745,-0.10778,-0.86691
3.800,0.48347,-0.15869,-1.65563
3.805,-1.10608,0.44343,0.53268
3.818,-1.18802,-0.70956,-1.54442
3.825,-1.18908,0.25807,-0.54922
3.838,-0.21876,0.12780,-0.17296
3.844,-0.57397,-0.98778,0.01398
3.861,0.21813,0.72656,2.02479
3.870,0.23253,0.10032,1.88639
3.899,-0.35978,-0.89945,0.27489
3.899,-0.22497,-0.77081,-0.12381
3.914,0.69187,-0.67798,-0.88071
3.914,0.69187,-0.67798,-0.88071
3.917,1.40996,-0.18225,1.92678
3.940,0.73062,-1.06654,-0.71832
3.940,0.73062,-1.06654,-0.71832
3.943,-0.80334,-0.92132,-1.32733
3.961,-1.27885,-0.33978,-0.47741
3.969,-0.27468,0.33441,-0.97047
3.980,-0.27409,0.50007,-0.85560
3.985,-0.84199,0.70197,0.23546
4.001,-1.72412,-0.94245,-2.77121
4.004,-0.84644,0.77050,1.96822
4.022,-0.64809,-0.73328,-1.19421
4.031,0.47664,0.73003,1.43037
4.055,-0.68480,-1.76885,-3.33421
4.056,-0.53260,-0.85831,1.82691
4.073,-1.39210,-0.74162,0.86814
4.073,-1.39210,-0.74162,0.86814
4.078,-0.25297,1.73413,2.76344
4.098,0.00087,1.87854,2.36857
4.099,0.00087,1.87854,2.36857
4.106,-0.23172,0.35261,-1.10802
4.122,0.42260,1.51748,3.55602
4.127,0.09815,-2.96437,-2.07092
4.140,0.09126,-2.89366,-2.06941
4.145,1.74312,0.25975,2.43453
4.181,-0.39471,0.21832,1.37447
4.181,-0.76150,-0.76791,0.20090
4.181,-2.15576,0.23805,1.91153
4.191,-1.80973,-1.02281,-2.57760
4.213,-0.20788,-0.33800,2.78098
4.215,1.01718,-1.90366,-3.35604
4.234,1.46532,0.21549,2.33989
4.234,1.46532,0.21549,2.33989
4.241,-0.66335,-2.07991,-5.85255
4.260,0.50972,1.90099,3.82928
4.265,-0.22815,0.85952,-1.18472
4.282,-1.14435,1.12055,2.85345
4.295,-0.79805,-0.36929,-1.81275
4.298,-0.68080,0.32932,1.92526
4.306,-0.97221,-1.10276,-0.15464
4.321,-0.65142,0.09312,0.64273
4.324,0.62744,-0.83806,-1.04830
4.342,1.22171,-0.38029,0.44443
4.351,0.20268,-0.64765,1.57477
4.369,0.22874,-1.34957,-2.41323
4.373,-0.80867,-0.35112,0.12457
4.396,-1.12282,-0.62659,-3.52279
4.396,-1.12282,-0.62659,-3.52279
4.400,0.51949,1.11189,1.76356
4.430,0.44910,-0.33299,-0.00220
4.430,0.44910,-0.33299,-0.00220
4.431,0.00304,0.40013,1.27145
4.465,-0.50670,-0.55607,-0.46804
4.465,-0.73759,0.05049,-1.33597
4.468,-0.03510,0.08499,2.19246
4.468,1.21917,-0.59544,0.16413
4.479,0.40086,-0.44829,-0.31294
4.484,0.35659,-0.02793,-1.01664
4.501,-1.67940,0.10978,-4.54998
4.512,1.54929,-0.69729,1.04695
4.527,0.64417,-1.45926,-2.88002
4.532,0.01291,0.35080,1.22823
4.562,-0.94825,0.96864,1.71671
4.562,-0.94825,0.96864,1.71671
4.562,-0.52023,1.08931,0.52840
4.591,-0.67134,-0.23985,-0.41404
4.592,-0.67134,-0.23985,-0.41404
4.595,-0.15243,-0.04770,-0.10766
4.600,-0.74666,0.77530,4.24762
4.607,0.22368,-0.05605,-0.38262
4.619,0.22587,-0.05599,-0.38272
4.625,0.69904,-0.39243,-0.65014
4.639,1.04720,0.80973,2.44419
4.645,0.93729,0.22791,2.42081
4.661,0.92634,0.20730,2.42082
4.671,-1.10195,-1.06960,-1.90379
4.701,-0.70167,0.50529,0.21963
4.702,-0.56049,0.87281,0.57817
4.729,0.53705,-0.54827,-1.71402
4.729,0.53705,-0.54827,-1.71402
4.729,0.16732,0.59319,1.78616
4.737,-0.00491,-0.59279,-0.35993
4.745,-0.23293,1.25737,1.42979
4.760,0.50044,-0.20850,-0.34247
4.767,-0.59472,-0.39470,-0.74987
